title,genres,countries,type,description,rating_imdb,votes_imdb,movieLength,ratingMpaa
the magic school bus,"мультфильм, фантастика, фэнтези, комедия, приключения, семейный","Канада, США",animated-series,Познавательно-приключенческий мультсериал по мотивам комиксов Джоанны Кол.,7.8,11690,0,
sammy 2,"мультфильм, приключения, семейный","Бельгия, США, Франция, Италия",cartoon,"Верные друзья навсегда, черепахи Сэмми и Рей, наслаждаются размеренной жизнью вблизи океана, а также присматривают за только что вылупившимися Рикки и Эллой. Внезапно, браконьер хватает больших черепах, они нужны ему для захватывающего морского шоу в Дубае.  Центральная фигура шоу, морской конёк Большой Ди, посвящает новичков в свои планы на грандиозный побег. 

Но, когда маленькие Рикки и Элла прибывают, чтобы спасти «дедушек», планы черепах и их новых друзей: пучеглазой рыбки Джимбо, осьминога Анабель, омара и большой семьи пингвинов, меняются. После ряда волнующих приключений и побегов, наши герои направляются на юг, чтобы встретиться с Шелли, первой и единственной любовью Сэмми.",5.6,2610,90,
sofia the first,"мультфильм, мюзикл, детский, фэнтези, приключения",США,animated-series,"В одном далёком-предалёком королевстве рука об руку правят волшебство и веселье! София Прекрасная - очаровательная маленькая принцесса, которой предстоит впервые выйти в свет.
После того как мама Софии выходит замуж за короля, девочка становится принцессой. И вот уже маленькая София мчится в Академию по подготовке королевских особ, где строгие преподаватели - знаменитые три феи - научат её всему, что нужно знать принцессе. Но сможет ли София научиться колдовать и подружится ли она со своей новой сводной сестрой? Ей помогут доброта, говорящие животные и советы особенных гостей Академии — знаменитой Золушки, русалочки Ариэль, Жасмин, очаровательной Бэлль.",6.9,4152,0,
barbie life in the dreamhouse,"мультфильм, детский, комедия, семейный, короткометражка","США, Канада",animated-series,"Красавица Барби вместе с семьёй переезжает в роскошный новый дом. У неё есть любимые родители, три сестрички и множество друзей, с которыми так весело проводить время — устраивать вечеринки и пикники, ходить по магазинам и на показы мод. Её лучший друг Кен живет по соседству, и он помогает Барби всегда и во всём.",7.6,3083,0,
paddington,"комедия, семейный, приключения, фэнтези","Великобритания, Франция, Китай, США",movie,"Приехавший в Лондон из Дремучего Перу медвежонок стремится обрести в британской столице новый дом и стать настоящим английским джентльменом. В этом смелому и предприимчивому путешественнику решает помочь семейство Браунов, обнаружившее маленького скитальца на Паддингтонском вокзале.",7.3,139482,95,pg
larva,"мультфильм, комедия",Корея Южная,animated-series,"Два закадычных друга-личинки, живущие под решеткой канализационного люка, наслаждаются жизнью по полной программе. Приятели устраивают себе вечеринки со знакомыми насекомыми, спасаются бегством от подводных чудищ и никогда не унывают.",6.9,1013,0,
sid the science kid,"мультфильм, комедия, семейный",США,animated-series,"Сид – это энергичный и любознательный пятилетний карапуз, который пытается разобраться в какой-нибудь важной научной проблемой и помогают ему в этом верные друзья – Габриэла, Мэй и Джеральда, ну и взрослые, конечно.

С помощью этого мультсериала маленькие зрители в развлекательной форме изучат множество интересных тем: измерительные приборы, метаморфозы в живой и неживой природе, органы чувств, здоровье и гигиена, механика, прикладное природоведение, метеорология, анатомия человеческого тела.",5.5,976,0,
minions,"мультфильм, фантастика, комедия, криминал, приключения, семейный","США, Франция, Мексика, Япония",cartoon,"Миньоны — желтые приспешники, существовавшие с начала начал, и эволюционировавшие из желтых одноклеточных организмов в существа, которые имеют только одну цель: служить самым амбициозным злодеям.",6.4,268009,91,pg
the little prince,"мюзикл, фантастика, фэнтези, семейный","Великобритания, США",movie,"Прошу детей простить меня за то, что я посвятил эту книжку взрослому. Скажу в оправдание: этот взрослый мой самый лучший друг. И еще: он понимает все на свете, даже детские книжки. И, наконец, он живет во Франции, а там сейчас голодно и холодно. И он очень нуждается в утешении. Если же все это меня не оправдывает, я посвящу книжку тому мальчику, каким был когда-то мой взрослый друг. Ведь все взрослые сначала были детьми, только мало кто из них об этой помнит. И так, я исправляю посвящение: Леону Верту, когда он был маленький.",6.4,4044,88,g
word party,"мультфильм, детский",Великобритания,animated-series,"Ведущий передачи называет различные предметы, найденные в разных местах. Уроки сопровождаются приятными мелодиями и яркими цветами, делающими занятия английским языком более увлекательными.",0.0,0,0,
cool runnings,"комедия, спорт, семейный",США,movie,"Четверо спортсменов из Ямайки мечтают ни много ни мало об участии в Олимпиаде. Причем им не важно, в каком виде спорта выступать. А почему бы и не бобслей? Чего только не сделаешь на пути к заветной мечте. Пусть даже этот путь ледяной, а мчаться приходится в непонятном снаряде.",7.0,114577,98,pg
homeward bound: the incredible journey,"драма, комедия, приключения, семейный",США,movie,"Хозяева двух собак и очаровательной кошечки Сэсси, вынужденные на время уехать, отдают своих питомцев на ранчо друга. Через некоторое время животные, очутившиеся за сотни миль от любимого дома, начинают беспокоиться, не приключились ли у хозяев неприятности. Поразмыслив, веселая троица решает самостоятельно добраться до дома и пускается в невероятно опасное путешествие по горам и пустыням...",6.9,51579,84,g
anastasia,"мультфильм, мюзикл, фэнтези, драма, приключения, семейный",США,cartoon,"Анастасия — дочка последнего русского царя Николая, погубленного зловещим Распутиным. Ей удается спастись, добраться вместе с бабушкой до переполненного вокзала и… потеряться в толпе. Проходит десять лет. Анастасия стала взрослой красавицей и теперь хочет попасть в Париж. Сможет ли царевна осуществить задуманное? Ведь Распутин уже поднялся из своей могилы…",7.1,137014,94,g
missione hamburger,комедия,Италия,movie,"Команда пожарников Италии передана под командование одного полностью сумасшедшего эксперта из Америки, однажды решающего погасить скважину нефти с помощью нитроглицерина.",4.9,675,89,
curious george,"мультфильм, комедия, приключения, семейный","США, Германия, Тайвань, Франция, Филиппины, Корея Южная, Канада",cartoon,"Приключения Любопытного Джорджа, любознательной маленькой обезьянки с ненасытным голодом к приключениям. Природные мужественность и любовь к забавам приводит его к новым друзьям, но также и вовлекает в ряд не совсем хороших приключений…",6.5,18607,87,g
secret of the wings,"мультфильм, фэнтези, семейный","США, Индия",cartoon,"Динь-Динь и ее подруги всегда боялись пересекать границу с Зимним лесом, ведь существует поверье, что там очень опасно. В один прекрасный день Динь-Динь, сгорая от любопытства, подходит вплотную к лесу, и ее крылья неожиданно начинают блестеть и переливаться. Завороженная Динь, желая узнать тайну волшебных крыльев, кутается в теплое пальто и отправляется в глубь таинственного леса, где ее ждет неожиданное открытие...",7.0,14313,75,g
clifford the big red dog,"фэнтези, комедия, приключения, семейный","США, Канада",movie,"Когда школьница Эмили получает в подарок от спасателя животных очаровательного щенка с красной шерстью, она и представить не может, что на утро обнаружит в своей маленькой нью-йоркской квартирке огромного трёхметрового пса! Мама в командировке, поэтому самые захватывающие и необыкновенные приключения ждут Эмили и ее веселого и порывистого дядю Кейси. Клиффорд научит их, а заодно и весь мир, любить по-крупному.",5.9,17713,96,pg
walt disney animation studios short films collection,"мультфильм, комедия, приключения, семейный",США,cartoon,"Дисней представляет замечательную коллекцию короткометражных анимационных фильмов, удостоенных различных премий, в которую вошли такие ленты, как «Холодное торжество», «Лоренцо». Есть здесь и современные короткометражные анимационные фильмы с классическими персонажами: «Конь-огонь», «Операция: Рождественский секрет», «Бумажный роман» и «Меню».",7.6,917,89,g
bunk'd,"драма, комедия, семейный",США,tv-series,,5.4,4451,0,
the bfg,"фэнтези, приключения, семейный","Великобритания, Индия, США",movie,"В центре истории девочка по имени Софи, которая не смогла заснуть до полуночи и в окошко увидела огромного великана, который подходил к соседним домам и начинал дуть в окна спален. В полном соответствии со старинными поверьями и детскими страшилками, великан увидел Софи и унес к себе домой, в страну великанов.

Как оказалось, он в этой самой стране был единственным добрым великаном: действуя в обстановке строжайшей секретности, он коллекционировал хорошие сны, которые по ночам раздавал детям. Уши у него устроены таким образом, что он слышит, что и о чем снится ребятам, и никогда не позволяет им видеть кошмары.",6.3,93810,117,pg
the real ghostbusters,"короткометражка, комедия",США,movie,,6.3,244,44,
babe: pig in the city,"фэнтези, драма, комедия, приключения, семейный","Австралия, США",movie,Здесь в огромном мегаполисе Бэйбу снова удастся очаровать новых знакомых своей галантностью и добротой. Поросенка и его старого приятеля гуся Фёрди ждут новые захватывающие и невероятно смешные приключения.,5.8,35813,97,pg
the prince of egypt,"мультфильм, мюзикл, фэнтези, драма, приключения, семейный","США, Канада",cartoon,"Эта история случилась на заре цивилизации в Древнем Египте. Стремительный и величавый Нил вынес на берег перед дворцом фараона корзину с младенцем. Могущественный правитель усыновил крошечного мальчика и дал ему имя Моисей.
Шли годы… Моисей и его брат Рамзес росли вместе. Но придет день, когда один из братьев станет владыкой величайшей империи на земле, а другой — святым… Противоборство героев навсегда изменит их судьбы и историю человечества.",7.2,147543,99,pg
paulie,"драма, комедия, приключения, семейный",США,movie,"Самый забавный и говорливый попугай в мире из-за своих необычных талантов очень быстро попадает в неприятности. Свои способности лучше скрывать - делает вывод попугай Поли в этой забавной приключенческой картине, которая безусловно понравится всем членам семьи. Маленькая, но очень умная птичка пытается разыскать девочку, которая ее вырастила. Способность говорить приносит попугаю одни неприятности, но в сердце живет надежда, ведь на своем пути Поли встречает друзей, которые помогают ему осуществить самую заветную мечту - вернуться наконец домой!",6.5,16343,91,pg
the road to el dorado,"мультфильм, мюзикл, фэнтези, комедия, приключения, семейный","США, Канада",cartoon,"Тульо и Мигель – два отпетых мошенника, которые обожают, когда золотишко само идет к ним в руки. Однажды им посчастливилось найти таинственную карту, на которой обозначен величественный Город Золота, мифический Эльдорадо. Вместе со знаменитым конкистадором Эрнаном Кортесом приятели отправляются за сокровищами в рискованное путешествие к берегам далекой Америки.",6.9,111652,89,pg
fantasia 2000,"мультфильм, мюзикл, фэнтези, семейный, музыка","США, Япония",cartoon,"Спустя почти 60 лет аниматоры корпорации «Дисней» вынесли на суд зрителей продолжение гениального фильма, создав рисованные этюды на музыку Бетховена, Респиги, Гершвина, Шостаковича, Сен-Санса, Элгара и Стравинского. Также в «Фантазию 2000» вошел классический эпизод из первой «Фантазии» — «Ученик колдуна».",7.1,41642,75,g
pocahontas ii: journey to a new world,"мультфильм, мюзикл, драма, мелодрама, приключения, семейный","США, Канада, Япония",cartoon,"Когда новость о смерти Джона Смита достигает Америки, дочь индейского вождя Покахонтас, вместе со своим другом, енотом Мико, отправляется в трудный путь в Лондон чтобы установить мир между двумя великими землями. Однако, правитель Рэтклифф неподалеку, он пытается захватить Джеймстаун и цена для него не имеет значения, ничто не остановит его в желании оклеветать принцессу…",4.8,17569,73,g
fantasia,"мультфильм, мюзикл, фэнтези, семейный, музыка",США,cartoon,"Необычайный, поражающий воображение мультконцерт, небывалое ранее единение музыки и мультипликации. Дисней и знаменитый дирижер Леопольд Стоковски решили воспроизвести на экране фантазии, возникающие в сознании людей при прослушивании музыкальных шедевров.

Картина состоит из 8 классических композиций, проиллюстрированных сюжетными инсценировками и ритмичными абстракциями, предвосхищающими чудеса компьютерной графики.",7.7,104630,125,g
an american tail,"мультфильм, мюзикл, драма, комедия, приключения, семейный",США,cartoon,"Фильм повествует об удивительных приключениях маленького отважного мышонка по имени Фивел. Корабль, на котором он отправился в путешествие из России в Америку на рубеже 19 и 20 веков, был застигнут страшным штормом, и Фивел оказался один в открытом море.

Волны вынесли его на берег в Нью-Йоркском порту. Фивел смело отправляется на поиски своей семьи навстречу опасностям и захватывающим приключениям в новом, незнакомом мире.",6.9,59359,80,g
pooh's grand adventure: the search for christopher robin,"мультфильм, мюзикл, комедия, приключения, семейный","США, Япония",cartoon,"Винни Пух и Кристофер Робин лучшие друзья, они хотят навсегда сохранить свою дружбу и никогда не расставаться. Однако Кристофер Робин должен пойти в школу, но он так и не смог сказать об этом Пуху. Для того, чтобы предупредить Винни Пуха, Кристофер Робин оставляет горшочек с медом и записку, в которой все объясняет. Пух испачкал записку медом и, при попытке ее прочтения, Сова решила, что Кристофер Робин попал в скулу (которая расположена на черепе) и ему требуется помощь. На помощь Кристоферу Робину отправляется спасательный отряд в составе Пуха, Пятачка, Кролика, Тигры и ослика Иа.",7.0,6830,76,g
ferngully 2: the magical rescue,"мультфильм, фэнтези, семейный",США,cartoon,"Продолжение мультфильма, поставленного по мотивам сказок Дайяны Янг. Вы вновь перенесетесь в волшебную Долину Папоротников, где живут смешные, милые зверушки. Теперь Бетти, Криста и Пипс предпринимают попытку вернуть в лес трех маленьких зверьков, украденных людьми.",4.4,1726,75,g
balto 2: wolf quest,"мультфильм, фэнтези, приключения, семейный",США,cartoon,"Продолжение приключений легендарного пса Балто. Случилось так, что Балто стал отцом. Он сделал все возможное, чтобы пристроить всех своих отпрысков в хорошие семьи. Но одна девочка, по имени Алу, вдруг почувствовала, что никогда не сможет быть похожей на своих братьев и сестер. После того, как она встретила в лесу охотника, Алу ощутила пробуждение загадочной природы волка внутри себя. Кто же она — волк или собака? Чтобы найти ответ на этот вопрос, Алу отправляется в путешествие по бескрайним просторам Аляски, в котором ее будет сопровождать любящий отец Балто.",6.0,5493,76,g
balto,"мультфильм, драма, приключения, семейный, история","США, Великобритания",cartoon,"Наполовину лайка, наполовину волк, Балто и сам не знает кто он такой на самом деле. Всеми гонимый бродяга в ледяной пустыне Аляски. Только его друзья русский полярный гусь Борис, медвежата Мак и Лак и красавица-лайка Дженна уверены, что хотя он и не такой как все, но в его груди бьется благородное сердце.
Однажды случается несчастье. Эпидемия дифтерии охватила детей небольшого поселка, а свирепая вьюга сделала непроходимыми все дороги. Лишь собачья упряжка может преодолеть шестьсот миль через ослепляющий арктический шторм и привезти спасительное лекарство.
Но собаки сбились с дороги где-то на замерзших просторах. Теперь только Балто может найти упряжку и спасти детей, а заодно стать героем и настоящей легендой!",7.1,48418,71,g
back to the secret garden,"фэнтези, семейный","США, Германия, Великобритания",movie,"Юная Лиззи переезжает жить в Англию, в знаменитое поместье Мистлтвэйт, ставшее теперь приютом для сирот. Оно принадлежит Мэри и Колину Крэйвенам, которые, будучи еще детьми, нашли дверь в таинственный сад, полный магии и волшебства.

Уезжая за границу, они оставляют поместье на попечение строгой домоправительницы Марты, которая не только держит сад под замком, но и вовсе перестает ухаживать за ним. И когда Лиззи обнаруживает умирающий сад, она решает во что бы то ни стало спасти это удивительное место и возродить волшебство.",5.7,1007,100,g
the brave little toaster goes to mars,"мультфильм, фантастика, приключения, семейный",США,cartoon,"Юный хозяин Роб закончил колледж, стал взрослым, женился, и вскоре на свет появился Маленький Хозяин Робби. Тостер, Лампа, Радио, пылесос Керби и электрическое одеяло Блэнки окружили малыша любовью и заботой. Но приборы-чужаки во главе с огромным Холодильником похитили Робби и таинственным образом переправили Робби на Марс.  Чтобы вызволить маленького Хозяина и доставить его домой, отважные друзья-электроприборы вместе с крысой Рэтсо и новыми товарищами: дребезжащим вентилятором Фэнни, заносчивой Микроволновкой, Мешком с попкорном и Калькулятором отправляются в захватывающее межпланетное путешествие.",5.5,1847,73,
the brave little toaster to the rescue,"мультфильм, фэнтези, приключения, семейный",США,cartoon,"Юный Хозяин Роб вырос, как это всегда происходит со всеми маленькими мальчиками. Он отправился учиться и, конечно же, взял с собой свои любимые вещи — замечательную компанию говорящих бытовых приборов. Тостер, Радио, Лампа, Пылесос Керби и Одеяло Блэнки быстро познакомились со страдающим от вирусов устаревшим компьютером Витгенштейном и его смешной Мышью. И они все вместе подружились с живущими по соседству животными — уморительной крысой Рэтсо, макакой Себастьяном и кошкой Мэйзи. А когда Тостер и его бравая компания узнали, что их новых друзей собираются отправить в ветеринарную лабораторию, чтобы ставить на них всякие опыты, отважная электрокоманда включила свои киловаты на полную мощность и устремилась на выручку.",6.1,1874,74,
an american tail: the mystery of the night monster,"мультфильм, детектив, приключения, семейный",США,cartoon,"Свирепое чудовище, охотящееся за мышами, наводит ужас на всех грызунов Манхэттена и преследует бедного Фивела в кошмарных снах. Вместе с мышью-репортером Фивел и его друзья пускаются в головокружительную погоню за «сенсацией века», чтобы увидеть «монстра» своими глазами!",5.7,1439,78,g
an american tail: fievel goes west,"мультфильм, мюзикл, приключения, семейный, вестерн","США, Великобритания, Китай, Канада",cartoon,"Коварный кот Кэт Р.Воул заманивает нашего героя на запад, где тот объединяет свои усилия со знаменитым псом Уайли Берпом в борьбе против зловещего заговора, цель которого - сделать из ничего не подозревающих мышей-поселенцев… гамбургеры!   ",6.5,28992,75,g
the last unicorn,"мультфильм, фэнтези, драма, приключения, семейный","Великобритания, США, Япония",cartoon,"В далекой волшебной стране в сиреневой роще жил юный прекрасный единорог, знающий секреты магии. Однажды он узнал, что все его сородичи исчезли с лица земли, и он может стать последним единорогом на свете.

И тогда единорог покинул свою рощу и отправился в долгое и опасное путешествие, чтобы разыскать и спасти своих сородичей. Много приключении пришлось ему пережить и многих опасных врагов довелось повстречать-свиноподобную ведьму Матушку Фортуну, шайку разбойников капитана Калли, злобного и жадного короля Хэггарда.

Но с помощью верных друзей - волшебника-недоучки Шмендрика, девушки Молли и прекрасного принца Лира -единорогу удалось одолеть огромного и страшного Красного Быка и освободить своих собратьев-единорогов.",7.3,29839,92,g
brother bear 2,"мультфильм, фэнтези, мелодрама, комедия, приключения, семейный","США, Австралия",cartoon,"Это снова мы, но уже в новом мультфильме. Но не только мы, лоси, но также и большой медведь (его зовут Кенаи) и его маленький братец медвежонок (его зовут Кода) и еще новая девочка по имени Нита.",6.1,20803,72,g
the fox and the hound 2,"мультфильм, мюзикл, комедия, приключения, семейный","США, Австралия",cartoon,"Тод и Коппер все еще как ниточка и иголочка, но когда у Коппера появляется шанс попасть в супер группу, их дружба подвергается испытанию.",5.1,6054,69,g
jetsons: the movie,"мультфильм, мюзикл, фантастика, комедия, семейный","США, Тайвань, Филиппины, Китай",cartoon,"Космические приключения Джорджа Джетсона, которого назначили вице-президентом компании Спейсли Спрокетс, и отправили со своей семьей работать на орбитальный горнорудный астероид...",5.5,5864,82,g
a monster in paris,"короткометражка, ужасы",США,movie,,0.0,0,0,
the gruffalo,"мультфильм, короткометражка, семейный, комедия, фэнтези","Великобритания, Германия",cartoon,"Волшебная история про маленького мышонка, который гулял по лесу. На его пути встают три хищника, которые мечтают ее съесть — сова, лиса и змея. Маленькому мышонку предстоит использовать все свое остроумие и смекалку, чтобы выжить.",7.5,7774,27,
dreamworks how to train your dragon legends,"мультфильм, фэнтези, комедия, приключения, семейный",США,cartoon,,7.5,1631,57,
ernest & celestine,"мультфильм, фэнтези, драма, комедия, криминал, приключения, семейный","Франция, Бельгия, Люксембург, США",cartoon,"Большая дружба начинается с малого… Она — маленькая мышка, он — огромный медведь. Она — ребенок, он — взрослый. Она мечтает быть художницей, хотя по правилам своего мира должна стать дантистом, он — музыкант и поэт, ведущий бездумную жизнь и никогда не имеющий куска хлеба на завтра. Они живут в разных мирах: для обитателей мышиного царства нет ничего более дикого, чем подружиться с «большим плохим медведем», да и его соседи вряд ли поймут, зачем водиться с мышкой. Но дружба и родство душ сродни настоящему волшебству. И какое этой парочке дело до условностей, разницы в размере, исторических предрассудков и культурных барьеров?",7.8,22786,80,pg
animaniacs,"мультфильм, короткометражка, мюзикл, комедия, приключения, семейный","США, Япония, Новая Зеландия, Корея Южная, Филиппины, Тайвань",animated-series,"У каждого из этих мультипликационных персонажей есть своя история, потому что они были придуманы и нарисованы в студиях Warner Bros уже очень давно, за долгие годы жизни на экране они успели стать настоящими знаменитостями!",7.9,26468,0,
disney animation collection: vol. 4: the tortoise and the hare,"мультфильм, мюзикл, короткометражка, фэнтези, комедия, приключения, семейный","США, Япония",cartoon,"В день рождения Анны, Эльза и Кристофф полны решимости подарить ей лучший праздник, сделанный когда-либо, но ледяные силы Эльзы могут принести больше вреда, чем организация праздника.",6.8,17815,8,g
poppixie,"мультфильм, фэнтези, приключения, семейный","Италия, Канада, США, Россия, Великобритания, Франция",animated-series,"Любимые феечки ПопПикси и их друзья ждут тебя в Пиксивилле!

Они такие же, как ты - веселые, добрые и маленькие. И все - особенные! Когда малышки Пикси используют свой талант во имя добра, древо жизни дает им волшебный шар - магическую сферу, которая превращает их в феечек ПопПикси.

ПопПикси живут в Пиксивилле, населенном гномами, эльфами и забавными зверушками. Они любят мечтать, умеют дружить и творят настоящие чудеса, поэтому каждый день с ними происходят невероятные приключения. Все знают их, ведь они - феечки ПопПикси!

В этом выпуске Фиксит изобретает опасную игрушку и вместе с Диджит побеждает вирус техномагии. Камилла становится ПопПикси иллюзий, проучив несносного маленького эльфа, а Чатта становится ПопПикси словесной силы, сняв чары коварных эльфов с гномов. Разрыв Юкки и Ленни чуть не губит древо жизни, Йодльфест чуть не лишает голоса жителей Пиксивилля, а зазевавшиеся Пикси чуть не гибнут в лесу, столкнувшись с ужасными чудовищами!

Содержание:

01. Суперигрушка

02. Триумф техномагии

03. Эльф в школе

04. Гномы сошли с ума

05. Ленни и Юкка воюют

06. Проклятье молчания

07. Герои школьного автобуса",5.2,125,0,
jack and the cuckoo-clock heart,"фэнтези, драма, приключения",США,tv-series,"В долине сверкающего тумана стоит огромный средневековый замок. Богатый подрядчик Джонатан Уильям фон Хапсбург Робинсон (Джек) давно мечтает устроить здесь казино «Волшебный замок». Но все планы Джека может разрушить давняя семейная тайна, похожая на старую сказку.

Однако, история его семьи заставляет Джека поверить в «возможность невозможного». И, чтобы снять страшное проклятие, грозящее гибелью их роду, Джек должен искупить вину своего далекого предка...",6.7,4154,0,
the pirate fairy,"мультфильм, фэнтези, детский, приключения","США, Индия",cartoon,"Когда чересчур любознательная фея Зарина становится причиной чрезвычайного происшествия, она решает бежать из Долины Фей и присоединиться к бесстрашным морским разбойникам. Но перед этим Зарина похищает волшебную пыльцу голубого цвета, от которой зависит само существование Долины. Фея Динь-Динь и её подруги отправляются в захватывающее путешествие на поиски беглянки, но на середине пути мир фей переворачивается с ног на голову: они осознают, что их таланты перемешались, и теперь, им нужно не только успеть вернуть волшебную голубую пыльцу, но и научиться контролировать себя и непривычные для каждой из них способности.",6.6,14886,78,g
axel: the biggest little hero,"мультфильм, приключения, фантастика",Китай,cartoon,"Когда-то планета Кеплер процветала. Источником суперэнергии для планеты служил многовековой волшебный лес из деревьев Кар-Лало. Но после прихода землян лес был полностью уничтожен, а Кеплер обречен на вымирание. Чтобы возродить оазис и спасти свою землю, друзья Аксель, Джоно и Гага сражаются со злыми землянами и гигантскими роботами, пускаются в опасное путешествие на самое дно вулкана. Во что бы то ни стало они должны отыскать последнее семечко Кар-Лало, но времени уже почти не осталось.",6.0,58,90,
the adventures of figaro pho,"короткометражка, драма","Канада, США",movie,,0.0,0,16,
the boxcar children,"мультфильм, приключения, семейный","США, Гватемала, Корея Южная",cartoon,"Генри, Джесси, Вайолет и Бенни — осиротевшие братья и сестры, которые таинственным образом появляются в небольшом городке теплой летней ночью. Никто не знает, кто они и откуда пришли. Побоявшись жить с дедушкой, которого они никогда прежде не видели, дети обустроили себе дом в старом заброшенном товарном вагоне, который они обнаружили в лесу",6.5,632,86,g
